window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
rolling_60d,DAI,PC10,8,5,1,3.0,0.125,0.2,0.15384615384615385,0.9962039045553145,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-20 00:00:00')],1.00087203505
rolling_60d,DAI,PC8,15,5,1,1.0,0.06666666666666667,0.2,0.1,0.9924078091106291,[Timestamp('2021-11-10 00:00:00')],[Timestamp('2021-11-09 00:00:00')],1.00015685526
rolling_60d,DAI,PC9,15,5,1,6.0,0.06666666666666667,0.2,0.1,0.9924078091106291,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-17 00:00:00')],1.0004231666733334
rolling_60d,DAI,PC5,17,5,1,7.0,0.058823529411764705,0.2,0.0909090909090909,0.9913232104121475,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],0.9999003250411763
rolling_60d,DAI,PC7,18,5,1,7.0,0.05555555555555555,0.2,0.08695652173913045,0.9907809110629068,[Timestamp('2021-11-23 00:00:00')],[Timestamp('2021-11-16 00:00:00')],1.0000872596833332
rolling_60d,DAI,PC3,19,5,1,1.0,0.05263157894736842,0.2,0.08333333333333333,0.9902386117136659,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],0.9999901278157894
rolling_60d,DAI,PC1,23,5,0,,0.0,0.0,,0.9875473741201949,[],[],0.9978440998130437
rolling_60d,DAI,PC2,14,5,0,,0.0,0.0,,0.9924119241192412,[],[],0.9997379059571427
rolling_60d,DAI,PC4,19,5,0,,0.0,0.0,,0.9897018970189702,[],[],0.9999319296473683
rolling_60d,DAI,PC6,16,5,0,,0.0,0.0,,0.9913279132791328,[],[],1.0003872139
rolling_60d,PAX,PC1,86,23,10,2.6,0.11627906976744186,0.35714285714285715,0.1754385964912281,0.9583561643835616,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00'), Timestamp('2023-12-16 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-14 00:00:00'), Timestamp('2023-07-10 00:00:00'), Timestamp('2023-12-13 00:00:00'), Timestamp('2023-12-15 00:00:00')]",0.9979580558616278
rolling_60d,PAX,PC3,94,23,8,2.5714285714285716,0.0851063829787234,0.36363636363636365,0.13793103448275862,0.9527991218441273,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-09-07 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-11-16 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2021-04-13 00:00:00'), Timestamp('2021-09-06 00:00:00'), Timestamp('2023-03-07 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-07-11 00:00:00'), Timestamp('2023-11-10 00:00:00'), Timestamp('2023-12-13 00:00:00')]",0.9994206680127657
rolling_60d,PAX,PC7,97,23,5,3.2,0.05154639175257732,0.21739130434782608,0.08333333333333333,0.9495614035087719,"[Timestamp('2021-09-07 00:00:00'), Timestamp('2021-09-09 00:00:00'), Timestamp('2023-05-24 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-09-02 00:00:00')]","[Timestamp('2021-09-06 00:00:00'), Timestamp('2021-09-08 00:00:00'), Timestamp('2023-05-18 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-08-27 00:00:00')]",0.9995436067773196
rolling_60d,PAX,PC2,81,23,4,5.0,0.04938271604938271,0.18181818181818182,0.07766990291262135,0.9578313253012049,"[Timestamp('2023-04-20 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-07-14 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-04-14 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-07-07 00:00:00'), Timestamp('2023-12-08 00:00:00')]",0.9995344067876542
rolling_60d,PAX,PC5,83,23,4,3.75,0.04819277108433735,0.18181818181818182,0.07619047619047621,0.9566648381788261,"[Timestamp('2023-04-20 00:00:00'), Timestamp('2023-07-03 00:00:00'), Timestamp('2023-09-02 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-04-16 00:00:00'), Timestamp('2023-07-01 00:00:00'), Timestamp('2023-08-27 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.999525704307229
rolling_60d,PAX,PC4,90,23,4,2.25,0.044444444444444446,0.19047619047619047,0.07207207207207207,0.9528250137136588,"[Timestamp('2021-09-07 00:00:00'), Timestamp('2023-03-09 00:00:00'), Timestamp('2023-05-04 00:00:00'), Timestamp('2023-09-09 00:00:00')]","[Timestamp('2021-09-06 00:00:00'), Timestamp('2023-03-06 00:00:00'), Timestamp('2023-05-03 00:00:00'), Timestamp('2023-09-05 00:00:00')]",0.9995213886199997
rolling_60d,PAX,PC6,97,23,4,2.6666666666666665,0.041237113402061855,0.17391304347826086,0.06666666666666667,0.9490690032858707,"[Timestamp('2021-09-09 00:00:00'), Timestamp('2023-04-20 00:00:00'), Timestamp('2023-07-03 00:00:00')]","[Timestamp('2021-09-08 00:00:00'), Timestamp('2023-04-15 00:00:00'), Timestamp('2023-07-01 00:00:00')]",0.9993703609752578
rolling_60d,PAX,PC10,98,23,4,4.25,0.04081632653061224,0.19047619047619047,0.06722689075630252,0.9484931506849315,"[Timestamp('2023-07-14 00:00:00'), Timestamp('2023-07-24 00:00:00'), Timestamp('2023-10-17 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-07-10 00:00:00'), Timestamp('2023-07-21 00:00:00'), Timestamp('2023-10-10 00:00:00'), Timestamp('2023-12-11 00:00:00')]",0.9996257365704079
rolling_60d,PAX,PC8,85,23,2,5.5,0.023529411764705882,0.09090909090909091,0.037383177570093455,0.9545205479452055,"[Timestamp('2023-09-02 00:00:00'), Timestamp('2023-12-14 00:00:00')]","[Timestamp('2023-08-27 00:00:00'), Timestamp('2023-12-09 00:00:00')]",0.9994872847400003
rolling_60d,PAX,PC9,89,23,2,3.5,0.02247191011235955,0.08695652173913043,0.03571428571428571,0.9523809523809523,"[Timestamp('2023-08-18 00:00:00'), Timestamp('2023-09-02 00:00:00')]","[Timestamp('2023-08-17 00:00:00'), Timestamp('2023-08-27 00:00:00')]",1.0000031935269662
rolling_60d,USDC,PC1,14,3,1,1.0,0.07142857142857142,0.5,0.125,0.9929691725256896,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],0.9985274186714286
rolling_60d,USDC,PC2,21,3,0,,0.0,0.0,,0.9886363636363636,[],[],1.000390054557143
rolling_60d,USDC,PC3,18,3,0,,0.0,0.0,,0.9902597402597403,[],[],0.999677490588889
rolling_60d,USDC,PC4,13,3,0,,0.0,0.0,,0.9929615592853276,[],[],0.9999844186461537
rolling_60d,USDC,PC5,8,3,0,,0.0,0.0,,0.9956686518678939,[],[],0.9999503417875
rolling_60d,USDC,PC6,7,3,0,,0.0,0.0,,0.9962100703844071,[],[],0.9999509634857142
rolling_60d,USDC,PC7,12,3,0,,0.0,0.0,,0.9935029778018408,[],[],0.9999588059666666
rolling_60d,USDC,PC8,13,3,0,,0.0,0.0,,0.9929615592853276,[],[],1.0002133764692307
rolling_60d,USDC,PC9,12,3,0,,0.0,0.0,,0.9935029778018408,[],[],1.0000724883916665
rolling_60d,USDC,PC10,8,3,0,,0.0,0.0,,0.9956686518678939,[],[],1.00012734935
rolling_60d,USDT,PC1,18,2,1,1.0,0.05555555555555555,0.5,0.09999999999999999,0.9908058409951325,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.000793944322222
rolling_60d,USDT,PC2,11,2,0,,0.0,0.0,,0.9940476190476191,[],[],1.0005006851545455
rolling_60d,USDT,PC3,15,2,0,,0.0,0.0,,0.9918831168831169,[],[],1.0001331638
rolling_60d,USDT,PC4,15,2,0,,0.0,0.0,,0.9918831168831169,[],[],1.0003226864666668
rolling_60d,USDT,PC5,15,2,0,,0.0,0.0,,0.9918831168831169,[],[],1.0004243289666666
rolling_60d,USDT,PC6,8,2,0,,0.0,0.0,,0.9956709956709957,[],[],1.0004474541125
rolling_60d,USDT,PC7,15,2,0,,0.0,0.0,,0.9918831168831169,[],[],1.0002219776333332
rolling_60d,USDT,PC8,9,2,0,,0.0,0.0,,0.9951298701298701,[],[],1.0000230493333335
rolling_60d,USDT,PC9,11,2,0,,0.0,0.0,,0.9940476190476191,[],[],0.999869571609091
rolling_60d,USDT,PC10,8,2,0,,0.0,0.0,,0.9956709956709957,[],[],1.0004005344125
rolling_60d,UST,PC3,28,25,6,4.0,0.21428571428571427,0.2608695652173913,0.23529411764705882,0.9489559164733179,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-04-10 00:00:00'), Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-07 00:00:00')]",0.9993290992892857
rolling_60d,UST,PC10,25,25,5,2.6666666666666665,0.2,0.22727272727272727,0.21276595744680854,0.9531615925058547,"[Timestamp('2021-05-20 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-05-18 00:00:00'), Timestamp('2021-11-26 00:00:00'), Timestamp('2022-05-07 00:00:00')]",1.000728913668
rolling_60d,UST,PC2,14,25,3,3.6666666666666665,0.21428571428571427,0.15,0.1764705882352941,0.9745958429561201,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2022-05-08 00:00:00')]",0.9939658493071428
rolling_60d,UST,PC1,15,25,3,3.0,0.2,0.13636363636363635,0.16216216216216214,0.9725400457665904,[Timestamp('2021-11-13 00:00:00')],[Timestamp('2021-11-10 00:00:00')],0.9805580182133331
rolling_60d,UST,PC8,19,25,2,4.5,0.10526315789473684,0.08,0.0909090909090909,0.9604651162790697,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2021-11-30 00:00:00')]","[Timestamp('2021-11-11 00:00:00'), Timestamp('2021-11-23 00:00:00')]",1.0010735702157894
rolling_60d,UST,PC4,20,25,2,2.5,0.1,0.08,0.08888888888888889,0.958139534883721,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-11 00:00:00'), Timestamp('2022-05-06 00:00:00')]",1.0001578354149998
rolling_60d,UST,PC9,24,25,2,3.0,0.08333333333333333,0.07692307692307693,0.08,0.9489559164733179,[Timestamp('2021-04-17 00:00:00')],[Timestamp('2021-04-14 00:00:00')],1.0014999173583334
rolling_60d,UST,PC7,23,25,1,1.0,0.043478260869565216,0.05,0.046511627906976744,0.9489559164733179,[Timestamp('2021-05-20 00:00:00')],[Timestamp('2021-05-19 00:00:00')],1.0007924898739131
rolling_60d,UST,PC5,24,25,1,4.0,0.041666666666666664,0.04,0.04081632653061224,0.9466357308584686,[Timestamp('2022-05-09 00:00:00')],[Timestamp('2022-05-05 00:00:00')],1.0002091426291668
rolling_60d,UST,PC6,24,25,1,2.0,0.041666666666666664,0.04,0.04081632653061224,0.9466357308584686,[Timestamp('2022-05-09 00:00:00')],[Timestamp('2022-05-07 00:00:00')],1.0004332417375001
